;CountryName;CountryID;lowcarbonRDexp;year;Electricity_production_from_oil_gas_coal;general_public_expenditures;Coal_rents_percentage_of_GDP;Inflation;GDP_growth_annual_percentage;Natural_gas_rents_percentage_of_GDP;Oil_rents_percentage_of_GDP;disproportionality;election_year;green_vs_growth;left_vs_right;green_cabinet;left_incumbent_gov;single_party_gov;environmental_saliency ;political_constraints;institutional_constraints;social_expenditures;EU;prop;fed;pres;bic;deficit
BEL;Belgium;3;2;1997;37.5553871643056;21.1513979156766;0;0.757624410107738;3.79365762950188;1.08759278671312e-06;0;3.75;0;-12.47593117;0.775326490;0;1;0;5.35;0.7081103;4;25.22;1;2;2;0;3;-2.15129095306518
BEL;Belgium;3;3;1998;42.0420347243375;21.0949180608347;0;1.80564350098564;1.96180827198427;0;0;3.75;0;-12.64393044;-0.530238688;0;1;0;5.35;0.7081103;4;25.23;1;2;2;0;3;-1.02487716175958
BEL;Belgium;3;2;1999;39.3373797471391;21.2820398534755;0;0.598897782801686;3.54274346363066;9.58969001425804e-07;0;3.75;1;-12.04069138;-2.443883657;0;1;0;5.08;0.7081103;4;25.10;1;2;2;0;3;-0.648359086106704
BEL;Belgium;3;3;2000;39.6312807316395;21.0401971476314;0;2.01461738713986;3.71667938420875;3.15949560179832e-05;0;3.75;0;-12.28148746;-2.071799278;0;1;0;5.08;0.7181119;4;24.54;1;2;2;0;3;-0.0792929549009129
BEL;Belgium;3;3;2001;38.4237706377674;21.3136063380204;0;1.98280272084905;1.09961888777849;0;0;3.75;0;-13.57486343;-0.329725236;0;1;0;5.08;0.7181119;4;25.02;1;2;2;0;3;0.232849349686384
BEL;Belgium;3;3;2002;38.9181976550242;22.1388815392458;0;1.64000779519799;1.70688458453354;0;0;3.75;0;-14.86824036;1.412348866;0;1;0;5.08;0.7181119;4;25.38;1;2;2;0;3;-0.0436957691223879
BEL;Belgium;3;3;2003;40.956905733536;22.4843723439742;0;1.85008868250355;1.03798254902905;0;0;3.75;1;-14.79830742;2.482211590;0;1;0;4.79;0.7181119;4;25.89;1;2;2;0;3;-1.86418014481002
BEL;Belgium;3;3;2004;41.0584093037592;22.1972126513166;0;1.91499094831144;3.5712043433582;0;0;3.75;0;-14.73696804;1.888533831;0;1;0;4.79;0.6946738;4;25.62;1;2;2;0;3;-0.238702482707968
BEL;Belgium;3;3;2005;40.9315241106535;22.093997631255;0;2.08307421275387;2.32173705381926;0;0;3.75;0;-15.30975628;1.232965231;0;1;0;4.79;0.6946738;4;25.63;1;2;2;0;3;-2.71492847812413
BEL;Belgium;3;3;2006;39.8527528809219;21.9387885339603;0;2.26470714433403;2.55234994366351;0;0;3.75;0;-15.88254547;0.577396512;0;1;0;4.79;0.6946738;4;25.50;1;2;2;0;3;0.239572153043243
BEL;Belgium;3;2;2007;39.4479480851842;21.6158948183584;0;1.93172111672469;3.67688113594973;0;0;3.75;1;-14.82450962;-0.106351092;0;1;0;3.24;0.6946738;4;25.43;1;2;2;0;3;0.066440638505306
